C   , F
40  , 104
35  , 95
30  , 86
25  , 77
20  , 68
15  , 59
10  , 50
5   , 41
0   , 32
-5  , 23
-10 , 14
-15 , 5
-20 , −4
-25 , −13
-30 , −22
-35 , −31
-40 , −40
