top,prior,freq,v1,v1_ipa,v2,v2_ipa,v3,v3_ipa,trans,note
IRREGULAR VERBS*
НЕПРАВИЛЬНЫЕ ГЛАГОЛЫ
1,19,191823,be,/biː/,"was,were","/wɑːz/,/NONE/",been,/biːn/,"быть, являться",
2,19,210523,have,/hæv/,had,/hæd/,had,/hæd/,"иметь, обладать",
3,19,194183,do,/də/,did,/NONE/,done,/dʌn/,"делать, выполнять",
4,19,126849,get,/ɡet/,got,/NONE/,gotten;got,/NONE/;/NONE/,"получать, становиться","Однако got используется в обороте 'to have got'"
5,19,100905,go,/ɡoʊ/,went,/NONE/,gone,/NONE/,"идти, ехать",
6,19,241548,know,/noʊ/,knew,/NONE/,known,/NONE/,"знать, уметь, быть знакомым",
7,19,102403,think,/θɪŋk/,thought,/NONE/,thought,/NONE/,"думать, полагать",
8,19,75968,see,/siː/,saw,/sɑː/,seen,/siːn/,"видеть, смотреть",
9,19,72807,come,/NONE/,came,/NONE/,come,/NONE/,приходить,
10,19,61504,mean,/miːn/,meant,/NONE/,meant,/NONE/,"значить, подразумевать",
11,19,61352,tell,/tel/,told,/NONE/,told,/NONE/,"говорить, рассказывать, сообщать",
12,19,50213,say,/seɪ/,said,/sed/,said,/sed/,"говорить, сказать",
13,19,49868,take,/teɪk/,took,/NONE/,taken,/ˈteɪ.kᵊn/,"брать, взять",
14,19,46154,make,/meɪk/,made,/meɪd/,made,/meɪd/,"делать, производить, совершать",
15,19,38858,let,/let/,let,/let/,let,/let/,"позволять, допускать, выпускать, проливать",
16,19,31073,give,/ɡɪv/,gave,/NONE/,given,/ˈɡɪv.ᵊn/,давать,
17,19,23850,feel,/fiːl/,felt,/felt/,felt,/felt/,чувствовать,
18,19,21842,keep,/kiːp/,kept,/NONE/,kept,/NONE/,"держать, сохранять, хранить",
19,19,21617,put,/pʊt/,put,/pʊt/,put,/pʊt/,"класть, положить",
20,19,16978,leave,/liːv/,left,/left/,left,/left/,"оставлять, уезжать",
21,19,16724,understand,/ˌʌn.dɚˈstænd/,understood,/NONE/,understood,/NONE/,"понимать, осознавать",
22,19,16523,hear,/hɪr/,heard,/NONE/,heard,/NONE/,"слышать, слушать",
23,19,12707,saw,/sɑː/,sawed,/NONE/,sawed;sawn,/NONE/;/NONE/,"пилить, распилить",
24,19,10254,hold,/hoʊld/,held,/NONE/,held,/NONE/,"занимать, держать, удерживать",
25,19,10143,deal,/diːl/,dealt,/delt/,dealt,/delt/,"иметь дело, торговать, рассматривать вопрос",
26,19,9322,forget,/fɚˈɡet/,forgot,/NONE/,forgotten;forgot,/NONE/;/NONE/,забывать,"Форма forgotten более употребима как в британском, так и в американском варианте английского языка."
27,19,9076,run,/rʌn/,ran,/NONE/,run,/rʌn/,"бежать, гнать, управлять, течь",
28,19,8608,meet,/miːt/,met,/met/,met,/met/,"встречать, знакомиться",
29,19,8348,lose,/luːz/,lost,/NONE/,lost,/NONE/,"терять, утрачивать, избавляться, пропадать",
30,19,8320,bring,/brɪŋ/,brought,/brɑːt/,brought,/brɑːt/,"приносить, приводить, доводить",
31,19,7625,sit,/sɪt/,sat,/NONE/,sat,/NONE/,"сидеть, сажать, находиться",
32,19,6941,break,/breɪk/,broke,/NONE/,broken,/ˈbroʊ.kᵊn/,"ломать, прерывать, разбивать",
33,19,6878,set,/set/,set,/set/,set,/set/,"помещать, ставить",
34,19,6294,shut,/ʃʌt/,shut,/ʃʌt/,shut,/ʃʌt/,закрывать,
35,19,6257,stand,/stænd/,stood,/NONE/,stood,/NONE/,"стоять, быть расположенным",
36,19,6248,hit,/hɪt/,hit,/hɪt/,hit,/hɪt/,"ударять, поражать",
37,19,6016,pay,/peɪ/,paid,/peɪd/,paid,/peɪd/,"платить, вознаграждать, отомстить",
38,19,5747,sleep,/sliːp/,slept,/slept/,slept,/slept/,спать,
39,19,5743,read,/riːd/,read[red],/NONE/,read[red],/NONE/,читать,
40,19,5326,fight,/faɪt/,fought,/NONE/,fought,/NONE/,"бороться, сражаться",
41,19,5305,cut,/kʌt/,cut,/kʌt/,cut,/kʌt/,"резать, обрезать",
42,19,5202,eat,/iːt/,ate,/et/,eaten,/NONE/,"есть, принимать пищу, кушать",
43,19,4706,drink,/drɪŋk/,drank,/dræŋk/,drunk,/drʌŋk/,"пить, выпивать",
44,19,4548,bet,/bet/,bet;betted,/bet/;/NONE/,bet;betted,/bet/;/NONE/,"держать пари, быть уверенным","Вторая и третья формы betted чаще встречаются в современном британском варианте английского языка, однако, bet считается более употребимой и желательной как в британском, так и в американском варианте английкого языка."
45,19,4536,lie,/laɪ/,lay,/leɪ/,lain,/leɪn/,"лежать, распологаться, находиться","Глагол lie в значении «врать», «лгать» является правильным глаголом, поэтому образует формы прошедшего времени с помощью окончания -ed."
Infinitive Past Simple Past Participle Translation
arise arose arisen подняться; возникнуть
awake awoke awoken будить; проснуться
backbite backbitten backbitten клеветать
backslide backslid backslid отпадать
be was; were been быть
bear bore born; borne нести; родить
beat beat beaten бить
become became become становиться
begin began begun начать
bend bent bent согнуть(ся)
bet bet bet держать пари
bid bid; bid предлагать цену
bind bound bound связать
bite bit bitten кусать
bleed bled bled кровоточить
blow blew blown дуть
break broke broken ломать
breed bred bred выращивать
bring brought brought принести
broadcast broadcast(ed) broadcast(ed) передавать
browbeat browbeat browbeaten запугивать
build built built строить
burn burnt; burned burnt; burned жечь; гореть
burst burst burst разразиться; взорваться
bust bust; busted bust; busted ломать; арестовать
buy bought bought купить
cast cast cast кинуть; лить металл
catch caught caught ловить; поймать
choose chose chosen выбрать
cling clung clung цепляться; льнуть
come came come прийти
cost cost cost стоить
creep crept crept ползти
cut cut cut резать
deal dealt dealt иметь дело
dig dug dug копать
do did done делать
draw drew drawn тащить; рисовать
dream dreamt; dreamed dreamt; dreamed грезить; мечтать
drink drank drunk пить; выпить
drive drove driven гнать; ехать
dwell dwelt; dwelled dwelt; dwelled обитать; задерживаться
eat ate eaten кушать; есть
fall fell fallen падать
feed fed fed кормить
feel felt felt чувствовать
fight fought fought сражаться
find found found находить
flee fled fled бежать; спасаться
fling flung flung бросить
fly flew flown летать
forbear forbore forborne воздерживаться
forbid forbad; forbade forbidden запретить
forecast forecast(ed) forecast(ed) предсказывать
foresee foresaw foreseen предвидеть
foretell foretold foretold предсказывать
forget forgot forgotten забыть
forgive forgave forgiven простить
forsake forsook forsaken покидать
forswear forswore forsworn отрекаться
freeze froze frozen замораживать
gainsay gainsaid gainsaid отрицать; противоречить
get got got получить
gild gilt; gilded gilt; gilded позолотить
